 ,Area,Mean,Min,Max,X,Y
1,0.000,2,2,2,3.330,93.703
2,0.000,3,3,3,5.589,97.390
3,0.000,7,7,7,5.827,91.920
4,0.000,7,7,7,6.302,85.261
5,0.000,8,8,8,6.540,79.077
6,0.000,3,3,3,7.254,73.607
7,0.000,1,1,1,7.729,68.375
8,0.000,1,1,1,8.205,63.143
9,0.000,3,3,3,8.681,53.392
10,0.000,2,2,2,10.108,61.954
11,0.000,1,1,1,11.297,67.424
12,0.000,13,13,13,12.248,73.369
13,0.000,6,6,6,13.437,80.028
14,0.000,7,7,7,18.907,77.412
15,0.000,5,5,5,21.999,74.083
16,0.000,4,4,4,24.615,70.515
17,0.000,12,12,12,26.042,66.472
18,0.000,5,5,5,27.469,62.905
19,0.000,5,5,5,30.085,59.100
20,0.000,10,10,10,32.225,56.484
21,0.000,3,3,3,36.506,60.289
22,0.000,2,2,2,38.647,65.521
23,0.000,8,8,8,40.074,70.991
24,0.000,14,14,14,41.976,76.937
25,0.000,5,5,5,43.165,81.931
26,0.000,2,2,2,44.830,86.450
27,0.000,48,48,48,47.922,90.493
28,0.000,2,2,2,52.678,92.157
29,0.000,4,4,4,57.197,92.871
30,0.000,9,9,9,62.429,93.584
31,0.000,8,8,8,67.424,93.584
32,0.000,108,108,108,72.180,92.633
33,0.000,1,1,1,75.034,91.682
34,0.000,3,3,3,78.839,88.828
35,0.000,8,8,8,82.644,87.639
36,0.000,7,7,7,86.450,90.255
37,0.000,3,3,3,91.444,91.444
38,0.000,11,11,11,97.390,91.920
39,0.000,0,0,0,100.957,91.920
40,0.000,8,8,8,104.049,94.298
41,0.000,2,2,2,105.238,90.017
42,0.000,6,6,6,105.238,86.687
43,0.000,4,4,4,105.476,81.693
44,0.000,2,2,2,105.951,76.461
45,0.000,3,3,3,105.951,72.418
46,0.000,1,1,1,105.951,69.088
47,0.000,2,2,2,105.951,66.710
48,0.000,1,1,1,106.189,61.240
49,0.000,3,3,3,106.665,56.008
50,0.000,21,21,21,107.616,50.062
51,0.000,1,1,1,108.092,55.770
52,0.000,7,7,7,108.805,60.051
53,0.000,3,3,3,108.805,63.143
54,0.000,11,11,11,109.281,66.948
55,0.000,9,9,9,110.708,71.704
56,0.000,4,4,4,112.135,76.937
57,0.000,12,12,12,116.416,75.748
58,0.000,7,7,7,119.032,73.369
59,0.000,13,13,13,121.410,70.515
60,0.000,6,6,6,123.313,68.851
61,0.000,9,9,9,124.502,65.283
62,0.000,17,17,17,126.404,61.716
63,0.000,2,2,2,129.020,57.673
64,0.000,11,11,11,131.874,54.581
65,0.000,7,7,7,135.204,56.484
66,0.000,18,18,18,136.631,59.575
